,Subject,PF1,PF2,PF3,PF4,PF5,PH1,PH2,PH3,PH4,PH5,Accuracy
1,BYZ,0.027777778,0.130555556,0.358333333,0.827777778,0.977777778,0.036111111,0.144444444,0.397222222,0.85,0.988888889,0.52
2,CLL,0.213888889,0.366666667,0.422222222,0,0,0.225,0.402777778,0.475,0,0,0.52
3,DLC,0.119444444,0.297222222,0.402777778,0.55,0.925,0.111111111,0.333333333,0.480555556,0.644444444,0.930555556,0.54
4,GAX,0,0.102777778,0.45,0.763888889,0.980555556,0,0.083333333,0.458333333,0.802777778,0.977777778,0.5
5,HMH,0.080555556,0.233333333,0.441666667,0.625,0.888888889,0.108333333,0.302777778,0.472222222,0.686111111,0.922222222,0.52
6,HP,0.008333333,0.175,0.327777778,0.561111111,0.997222222,0.005555556,0.194444444,0.366666667,0.555555556,0.994444444,0.52
7,HYP,0,0.463888889,1,0,0,0,0.519444444,0.994444444,0,0,0.53
8,JJ,0.033333333,0.108333333,0.225,0.530555556,0.916666667,0.205555556,0.402777778,0.591666667,0.783333333,0.963888889,0.68
9,JJC,0.008333333,0.266666667,0.405555556,0.544444444,0.980555556,0.011111111,0.344444444,0.530555556,0.625,0.986111111,0.56
10,LD,0.008333333,0.130555556,0.402777778,0.772222222,0,0.005555556,0.225,0.505555556,0.797222222,0,0.55
11,LMT,0,0.119444444,0.302777778,0.5,0.986111111,0,0.125,0.3,0.505555556,0.997222222,0.5
12,LY,0.091666667,0.369444444,0.911111111,1,0,0.147222222,0.427777778,0.891666667,0.997222222,0,0.53
13,PC,0.088888889,0.483333333,0.888888889,0,0,0.111111111,0.480555556,0.886111111,0,0,0.5
14,QP,0.036111111,0.105555556,0.283333333,0.552777778,0.883333333,0.080555556,0.275,0.530555556,0.725,0.947222222,0.62
15,SL,0.086111111,0.105555556,0.288888889,0.794444444,0.983333333,0.183333333,0.25,0.425,0.822222222,0.986111111,0.57
16,SZJ,0.208333333,0.391666667,0.477777778,0.733333333,0.916666667,0.291666667,0.472222222,0.586111111,0.816666667,0.95,0.55
17,TCD,0.086111111,0.213888889,0.361111111,0.497222222,0.927777778,0.136111111,0.305555556,0.472222222,0.616666667,0.922222222,0.56
18,WYX,0.038888889,0.108333333,0.488888889,0.719444444,0.886111111,0.016666667,0.061111111,0.458333333,0.727777778,0.905555556,0.48
19,XBJ,0.005555556,0.330555556,0.341666667,0.352777778,0.997222222,0.002777778,0.463888889,0.480555556,0.480555556,0.997222222,0.57
20,YCX,0.052777778,0.205555556,0.358333333,0.65,0.991666667,0.075,0.238888889,0.422222222,0.672222222,0.963888889,0.53
21,YJC,0.044444444,0.113888889,0.383333333,0.861111111,0.994444444,0.066666667,0.141666667,0.477777778,0.902777778,0.997222222,0.55
22,YJZ,0.088888889,0.402777778,0.463888889,0.530555556,0.95,0.111111111,0.436111111,0.494444444,0.547222222,0.944444444,0.52
23,YPL,0.055555556,0.136111111,0.311111111,0.533333333,0.883333333,0.227777778,0.525,0.686111111,0.816666667,0.944444444,0.69
24,ZJ,0.019444444,0.222222222,0.411111111,0.666666667,0.941666667,0.019444444,0.244444444,0.433333333,0.658333333,0.947222222,0.51
25,ZJT,0.011111111,0.066666667,0.308333333,0.722222222,0,0.008333333,0.122222222,0.388888889,0.777777778,0,0.53
26,ZLK,0.033333333,0.161111111,0.386111111,0.825,0.997222222,0.058333333,0.197222222,0.458333333,0.825,0.994444444,0.54
