,Subject,DF2 d',RC2a d',
0,BYZ,0.475,0.5,-0.025
1,CW,2.4,2.05,0.35
2,CY,2.45,2.15,0.3
3,GJ,2.425,2.325,0.1
4,HP,0.575,0.525,0.05
5,HYP,1.575,1.475,0.1
6,JYN,1.85,1.4,0.45
7,LXL,2.5,2.225,0.275
8,QP,1.575,1.375,0.2
9,RSL,2.5,2.5,0
10,SJ,2.45,1.8,0.65
11,SJ2,0.825,0.8,0.025
12,SL,1.325,1.225,0.1
13,SXQ,2.45,2.025,0.425
14,SYB,2.5,2.5,0
15,TCD,1.025,0.875,0.15
16,WJ,2.275,2.025,0.25
17,WY,2.5,2.5,0
18,YCX,0.775,0.625,0.15
19,YJC,0.7,0.7,0
20,YJX,2.5,2.45,0.05
21,YPL,2.225,1.8,0.425
22,ZJT,0.925,0.75,0.175
23,ZQT,2.325,1.025,1.3
24,ZXL,1.875,1.375,0.5
25,ZY,1,0.925,0.075
