,subject,dp,distance,chi-square,df,p-value,explainable,rejected
0,HYP,0.55,28.83394130297265,782.5478968143857,90.0,0.0,False,True
1,PC,0.3,23.793644080706862,515.2817459283738,90.0,0.0,False,True
2,JJ,2.5,13.423419054244231,393.7509018250726,90.0,0.0,False,True
3,LD,0.6,21.995647415583115,393.481054149516,120.0,0.0,False,True
4,YPL,2.1,13.911742293353505,280.0394237115484,90.0,0.0,False,True
5,TCD,1.05,16.299335310525798,275.5668970263381,120.0,2.9531932455029164e-14,False,True
6,ZLK,0.55,9.682911933659152,253.0750247908957,90.0,0.0,False,True
7,SL,0.8,11.637097637905883,201.58886704898396,90.0,1.5693391031135207e-10,False,True
8,QP,1.4,10.511034170098522,174.83031078994557,90.0,2.167728793134316e-07,False,True
9,XBJ,1.15,13.019404215630493,189.7027019541996,120.0,5.192450139435145e-05,False,True
10,ZY,0.65,9.064132916158039,134.8782698424269,90.0,0.0015490515310048192,False,True
11,ZXL,1.0,8.754438243267629,131.73375482211654,90.0,0.002744875521607515,False,True
12,BYZ,0.35,6.951289214121487,131.31693069713776,90.0,0.002956288640717397,False,True
13,ZJT,0.8,6.669716804120418,130.65889534510427,90.0,0.003321043277881075,False,True
14,SZJ,0.9,11.120394028850114,123.07486249918959,90.0,0.011806057967538086,False,True
15,CLL,0.5,8.783083460980388,110.73584010668252,90.0,0.06818282496062367,False,False
16,JJC,0.8,7.5107565070584466,109.43046135403135,90.0,0.08010760910311021,False,False
17,YCX,0.8,6.5234343997677815,98.05368798082918,90.0,0.26349157517626487,False,False
18,HMH,0.6,8.38376549013288,85.83076402851927,90.0,0.6047949931551467,False,False
19,LY,0.75,4.8122558410514005,57.11306722496185,60.0,0.5818921010299507,True,False
20,HP,0.35,5.233138134037384,72.16649933685689,90.0,0.9159342420637172,False,False
21,YJZ,0.5,7.911771712154723,65.7494403295773,90.0,0.9744411427574207,True,False
22,LMT,0.3,8.911149448374394,86.0676778697493,120.0,0.9916948822092495,False,False
23,DLC,0.5,7.028070047658359,63.619633176104,90.0,0.9841762417638726,False,False
24,YJC,0.8,4.524709127814168,56.85313982377161,90.0,0.997530574952573,False,False
25,GAX,0.35,5.056839748195503,50.10474263117808,90.0,0.9997908389194068,False,False
26,WYX,0.3,5.997977980084647,49.41252558637,90.0,0.9998442559887205,False,False
27,ZJ,0.55,4.074711690911877,35.519888445855045,90.0,0.9999999560974413,False,False
