,subject,dp,distance,chi-square,df,p-value,dp2,distance2,chi-square2,df2,p-value2,rejected
0,WJ,2.1,38.349584373119214,1197.7595925269752,80.0,0.0,2.075,38.35046631154691,1179.412161660222,80.0,0.0,True
1,GJ,2.5,22.735036585417493,969.010071888654,80.0,0.0,2.475,22.80075337982337,913.6807839877533,80.0,0.0,True
2,ZT,2.325,26.75233021061173,940.0100239026073,80.0,0.0,2.3000000000000003,26.752401684533726,903.4146112592439,80.0,0.0,True
3,ZQT,1.625,30.949962537573636,910.444143017222,80.0,0.0,1.6,30.951619945486108,897.5495377844829,80.0,0.0,True
4,LXL,2.5,27.355126190537487,796.2620762904754,80.0,0.0,2.475,27.382302437216826,775.7902176837497,80.0,0.0,True
5,LR,2.275,22.316832656621003,761.8791976035823,80.0,0.0,2.25,22.318347068759245,718.8277075207902,80.0,0.0,True
6,HZL,2.5,16.500962938761813,705.2520317987047,60.0,0.0,2.475,16.52169305623628,667.9976860817804,60.0,0.0,True
7,CP,2.0,18.109279712171798,657.7279756970897,80.0,0.0,2.025,18.11069129496888,689.3925579996236,80.0,0.0,True
8,RSL,2.5,27.775168765684644,607.617768421976,80.0,0.0,2.475,27.88861620572759,605.6078705929206,80.0,0.0,True
9,SYB,2.5,28.118319277733747,554.7828064160068,80.0,0.0,2.475,28.18982796465846,545.0230577858172,80.0,0.0,True
10,YJX,2.5,15.872528088296995,520.4455672218488,60.0,0.0,2.475,15.977390654510893,497.8578593698188,60.0,0.0,True
11,ZYC,2.375,24.804543048342953,453.80155510077554,80.0,0.0,2.35,24.805003207205075,446.21650877039804,80.0,0.0,True
12,LT,2.3000000000000003,21.597873094860415,441.99167005122194,80.0,0.0,2.275,21.598327400612387,429.3712249267099,80.0,0.0,True
13,CW,2.1,23.927239658635305,415.85233254750665,80.0,0.0,2.075,23.929995681965284,406.535766133086,80.0,0.0,True
14,HXT,1.8,19.22861266807922,410.8355591127466,80.0,0.0,1.775,19.23271572675948,403.6704445799107,80.0,0.0,True
15,LJJ,2.5,15.115851735043881,375.8465057978307,80.0,0.0,2.475,15.181232111279845,355.29160956732414,80.0,0.0,True
16,SXQ,2.125,12.284940160571649,344.24610970405473,60.0,0.0,2.15,12.285036272648794,361.6574060809444,60.0,0.0,True
17,SJ,2.2,15.1925838808273,302.09952786344644,80.0,0.0,2.1750000000000003,15.197172767723151,291.87210028079915,80.0,0.0,True
18,ZC,2.5,15.504673009328055,298.50845642983904,60.0,0.0,2.475,15.596103157418632,296.94197737874566,60.0,0.0,True
19,CY,2.375,12.95419291767153,289.7609231178933,60.0,0.0,2.35,12.954833787310855,280.8491307923061,60.0,0.0,True
20,CSF,1.625,7.394937552084055,286.344568151054,60.0,0.0,1.65,7.3959269282041555,307.0202204228457,60.0,0.0,True
21,ZBY,2.0500000000000003,14.982574297082133,284.31733483322506,80.0,0.0,2.075,14.987862780968412,293.8302139427397,80.0,0.0,True
22,ZM,2.45,16.312991787149837,253.12236130891927,80.0,0.0,2.475,16.315976601590332,259.05170597185446,80.0,0.0,True
23,WY,2.5,15.485838544313562,252.8099240110743,60.0,0.0,2.475,15.593769702308085,252.17144419946254,60.0,0.0,True
24,SJ2,0.5750000000000001,13.697490612516756,189.54611531167401,60.0,2.331468351712829e-15,0.55,13.697706729588154,188.9445868070252,60.0,2.886579864025407e-15,True
25,JYN,1.55,7.428178355630917,160.17506591215138,60.0,4.634315153850821e-11,1.5750000000000002,7.4356181768128575,165.52227528189934,60.0,8.146483487792011e-12,True
