,subject,dp,distance,chi-square,df,p-value,explainable,rejected
0,WJ,2.2,30.350507350032547,1119.7188146562294,80.0,0.0,False,True
1,ZQT,1.8,28.85447413883102,882.0747310974291,60.0,0.0,False,True
2,ZT,2.45,15.398765504330326,737.0811718793847,80.0,0.0,False,True
3,CP,1.95,13.70354695060175,537.704534847876,80.0,0.0,False,True
4,LXL,2.5,13.256551695403775,526.7400890871534,80.0,0.0,False,True
5,LR,2.15,16.715801503239515,494.631639388667,80.0,0.0,False,True
6,LT,2.5,13.069104032814007,354.3103916589351,80.0,0.0,False,True
7,LJJ,2.5,11.258689445400483,336.5797643618008,80.0,0.0,True,True
8,RSL,2.5,15.044948093532724,322.2080809674169,80.0,0.0,False,True
9,HXT,1.9,13.394070966697864,312.18733305924184,80.0,0.0,False,True
10,SYB,2.5,14.445856000578814,311.2932883420601,80.0,0.0,False,True
11,SJ,2.3,10.421151269819733,296.65376437831003,80.0,0.0,False,True
12,CW,2.15,13.486638448667106,264.00861995145544,80.0,0.0,False,True
13,ZYC,2.5,9.64718082378024,229.5910961533757,80.0,2.220446049250313e-16,False,True
14,SJ2,1.05,11.651593441259614,184.4096856981133,60.0,1.4099832412739488e-14,False,True
15,GJ,2.5,4.571130392311792,168.48785256372508,60.0,3.0673241724343825e-12,False,True
16,ZC,2.5,8.91713922768898,164.73841819403958,60.0,1.0530687433174538e-11,False,True
17,CY,2.5,6.170035370908619,160.6065952212257,60.0,4.032174594215121e-11,False,True
18,YJX,2.5,7.100868493905245,134.35986357194244,60.0,1.2736605725649494e-07,False,True
19,HZL,2.5,5.63694554777995,131.12064259127501,60.0,3.2258542237428856e-07,True,True
20,JYN,1.55,5.514512768703963,122.73746156116906,60.0,3.3031043774611746e-06,False,True
21,SXQ,2.3,4.493707410963998,108.60696309302477,60.0,0.000124341572041331,False,True
22,ZBY,2.05,6.542500548594662,129.14648791378985,80.0,0.00041621988330775567,False,True
23,ZM,2.45,9.147639985597387,128.48456484735524,80.0,0.0004774741739846934,False,True
24,WY,2.5,6.248381132855631,87.60695580612524,60.0,0.01155688573241842,False,True
25,CSF,1.7,3.3604938877388437,86.0183900719035,60.0,0.01546912534484679,False,True
