,subject,dp,distance,chi-square,df,p-value,explainable,rejected
0,WJ,2.05,31.438141629547104,1031.2524385277748,80.0,0.0,False,True
1,ZQT,1.7,29.90116333998755,932.4590532266367,60.0,0.0,False,True
2,ZT,2.05,18.448380645551826,431.0747647767857,80.0,0.0,False,True
3,CP,1.75,16.72352070775004,386.87756449112,80.0,0.0,False,True
4,LXL,2.1,15.994744011825548,384.89433916341386,80.0,0.0,False,True
5,LR,1.85,20.56098534801723,374.98469790885315,80.0,0.0,False,True
6,RSL,2.5,15.590305735649848,350.40548470498186,80.0,0.0,False,True
7,SYB,2.5,15.51117107248261,340.26016379546365,80.0,0.0,False,True
8,HXT,1.7,15.898368837093532,302.75251655132325,80.0,0.0,False,True
9,LT,2.35,14.118119254334744,300.68700558989104,80.0,0.0,True,True
10,ZC,2.5,10.255825456840713,280.3802477511238,60.0,0.0,False,True
11,YJX,2.5,9.334333945496317,276.755935431966,60.0,0.0,False,True
12,ZM,2.2,13.330751520531594,263.0448298959064,80.0,0.0,False,True
13,LJJ,2.2,16.39447767390969,242.50085080957908,80.0,0.0,False,True
14,CW,2.0,15.159247660290587,241.31064358366064,80.0,0.0,False,True
15,HZL,2.25,8.047833492478043,235.3957808548468,60.0,0.0,False,True
16,GJ,2.5,7.005884004213022,187.61719953666167,60.0,4.662936703425658e-15,False,True
17,SJ2,0.85,13.186137955517971,182.49025538079854,60.0,2.720046410331633e-14,False,True
18,ZYC,2.35,11.141886795340216,206.66910532762464,80.0,3.7181369094696493e-13,False,True
19,SJ,2.0,12.996792688958983,205.50687104350055,80.0,5.35238520171788e-13,False,True
20,CY,2.05,7.896603582611532,133.2425560911047,60.0,1.758151840780542e-07,False,True
21,SXQ,2.1,5.526173813606372,132.44617850461023,60.0,2.2097323015835e-07,False,True
22,JYN,1.4,6.968039759680687,124.03300384781537,60.0,2.323716979724111e-06,False,True
23,CSF,1.35,5.683851531022742,117.31922516634444,60.0,1.3910063439870333e-05,True,True
24,WY,2.5,6.6630673062154235,101.76523610125149,60.0,0.0006175758363309303,False,True
25,ZBY,1.9,9.604615872154149,126.6171712352252,80.0,0.0006998110015544733,True,True
