,subject,dp,distance,chi-square,df,p-value,explainable,rejected
0,ZLK,0.65,12.282611380550337,350.6387653431225,100.0,0.0,False,True
1,TCD,1.1,16.062004161959752,308.2206284763365,100.0,0.0,False,True
2,JJ,2.1,13.20850253512157,279.2244977580215,100.0,0.0,False,True
3,YPL,2.15,14.033871281280124,278.6351247322908,100.0,0.0,False,True
4,QP,1.5,13.369549794953153,221.63188321454533,100.0,3.3335667559697406e-11,False,True
5,ZY,1.0,13.361814176740868,213.6184277103301,100.0,3.102550438782714e-10,False,True
6,JJC,0.95,11.459976981133448,209.95774196727334,100.0,8.411654706108608e-10,False,True
7,ZJT,1.0,8.555526240057045,178.3894070163997,80.0,1.82094173073466e-09,False,True
8,CLL,0.5,9.376576167987867,143.54049843992178,60.0,8.411339291747309e-09,False,True
9,SL,1.1,12.963421641654675,201.043412423601,100.0,8.98366969703801e-09,False,True
10,XBJ,1.25,11.913688037664013,197.81371147045147,100.0,2.0723900373553757e-08,False,True
11,BYZ,0.5,9.517409942886264,192.55165792721948,100.0,7.876453922417426e-08,False,True
12,LD,0.85,9.95498089014849,156.9348316425467,80.0,6.2222319663352e-07,False,True
13,SZJ,1.05,14.081886045374201,177.9885216426373,100.0,2.632480524678016e-06,True,True
14,HMH,0.85,13.677272864589114,154.7044914713108,100.0,0.00037251560076700935,True,True
15,PC,0.0,6.924233225985029,92.98767232673984,60.0,0.004060355214666078,True,True
16,YCX,0.7,9.931665759592992,136.58040607536498,100.0,0.008870831819920988,False,True
17,LY,0.85,7.080505100146959,110.78965961406756,80.0,0.012919187910239828,False,True
18,DLC,0.5,11.866821953181315,131.9761822466988,100.0,0.017734148594181876,True,True
19,HP,0.45,8.666089738043793,131.9453172208961,100.0,0.01781371751229477,False,True
20,YJZ,0.5,11.782888191670567,128.90316333164645,100.0,0.02738498969469405,False,True
21,HYP,0.7,4.470465477458244,69.94867565262868,60.0,0.1781454086751031,False,False
22,ZXL,1.4,6.663574405219747,105.53308565239945,100.0,0.3331592228942724,False,False
23,WYX,0.0,10.007686445069773,104.72635894405157,100.0,0.3534362516832825,True,False
24,GAX,0.15,7.552894166673733,94.20977581620643,100.0,0.644389622598171,True,False
25,ZJ,0.5,8.305385861918268,90.64435277955828,100.0,0.7375592386945173,True,False
26,LMT,0.25,7.853304746538357,84.21727661795774,100.0,0.8713897193838935,True,False
27,YJC,1.0,6.02579207194602,83.8670270033748,100.0,0.877138987277271,False,False
