,subject,dp,distance,chi-square,df,p-value,explainable,rejected
0,LXL,2.1,18.66321085746776,533.2709517967685,150.0,0.0,False,True
1,ZT,2.05,19.403059013497696,514.2680813902282,150.0,0.0,False,True
2,LR,1.85,19.834596678427857,479.73284411624945,150.0,0.0,False,True
3,HZL,2.15,14.35860276832075,448.01622348775487,150.0,0.0,False,True
4,SYB,2.5,13.127425764945896,438.38683637889017,150.0,0.0,False,True
5,ZM,2.15,15.408816783534308,428.2306828474215,150.0,0.0,False,True
6,CP,1.7,16.65955506625944,424.8489772516819,150.0,0.0,False,True
7,YJX,2.4,13.80350656562464,417.8597753518129,150.0,0.0,False,True
8,RSL,2.5,15.721268038518325,383.82266515274927,150.0,0.0,False,True
9,SXQ,1.95,10.038228127940448,368.28381252405677,150.0,0.0,False,True
10,HXT,1.7,15.458773975824881,335.94285197813707,150.0,3.3306690738754696e-16,False,True
11,LJJ,2.2,17.51504866814776,332.42277132875546,150.0,7.771561172376096e-16,False,True
12,SJ2,0.9,18.75908700815077,302.49974734918965,150.0,2.385536213012074e-12,False,True
13,ZC,2.25,15.223038258607795,301.7707589510598,150.0,2.8793634143653435e-12,False,True
14,ZQT,1.9,7.646445701150293,297.0618011748177,90.0,0.0,False,True
15,CW,2.05,12.51737689572951,288.95066347472294,150.0,7.345335450992252e-11,False,True
16,CY,1.95,11.412948386425311,266.1867798797527,150.0,1.6233582034175242e-08,False,True
17,GJ,2.3,10.733060556273859,249.0458600975796,120.0,4.6913917195468e-11,False,True
18,LT,2.2,10.676505458375486,249.5404345638728,150.0,6.093121989181327e-07,True,True
19,SJ,1.95,14.280003998599534,222.38133859478938,150.0,0.00011369100748959138,False,True
20,ZBY,1.9,12.397114344781865,210.9573675116101,150.0,0.0007661009700717925,True,True
21,ZYC,2.2,11.96658193380423,200.07809805410994,150.0,0.003929493362036296,False,True
22,WY,2.35,11.684913989575998,194.9809753460277,150.0,0.007917562605786799,False,True
23,JYN,1.35,9.613164013310367,161.02301815275382,150.0,0.2547126040245884,False,False
24,CSF,1.3,7.871301484786643,156.12773538835822,150.0,0.3492107562260375,True,False
25,WJ,2.05,8.177596332038512,127.66794198645952,120.0,0.29888045561978593,False,False
