,subject,dp,distance,chi-square,df,p-value,explainable,rejected
0,WJ,2.05,29.794165387413486,984.8254863523083,80.0,0.0,True,True
1,ZQT,1.7,29.335261730244397,906.5043267526404,60.0,0.0,True,True
2,LR,1.85,19.48073423996703,344.70457973396867,80.0,0.0,False,True
3,ZT,2.25,13.87356475119682,290.47132725458766,80.0,0.0,False,True
4,CP,1.8,14.040382891125644,286.34279234003895,80.0,0.0,False,True
5,LT,2.4,12.838069688181346,279.5908220916815,80.0,0.0,False,True
6,SYB,2.5,13.207029638713156,267.51471512237407,80.0,0.0,True,True
7,ZM,2.2,12.509079389146088,239.99237871240658,80.0,0.0,False,True
8,YJX,2.5,7.844104958150375,225.23071807615085,60.0,0.0,True,True
9,HZL,2.3,6.273609644080687,208.9772048284612,60.0,0.0,False,True
10,LJJ,2.2,15.662962696391446,222.71614846615486,80.0,2.109423746787797e-15,False,True
11,HXT,1.8,13.07093241936764,218.82889119802,80.0,7.66053886991358e-15,False,True
12,CW,2.05,13.322041630272643,204.06445402828976,80.0,8.399947404313934e-13,True,True
13,LXL,2.35,9.878553747004636,187.82685862035146,80.0,1.1708189973091976e-10,True,True
14,ZYC,2.45,8.829581337844326,168.7782148875837,80.0,2.676857857597525e-08,False,True
15,SJ2,0.95,12.0903613659892,139.51251285852638,60.0,2.8121062922714657e-08,True,True
16,RSL,2.5,11.187577345128698,167.77616574566528,80.0,3.51911140228367e-08,True,True
17,SJ,2.05,11.894132101522784,163.83440831120382,80.0,1.0190305343993344e-07,True,True
18,ZC,2.5,7.782577827291614,128.66193157166572,60.0,6.459624684040932e-07,False,True
19,GJ,2.5,5.0080870010582,115.17068200912712,60.0,2.4221821678716008e-05,True,True
20,JYN,1.4,6.386132314308145,102.54918593225752,60.0,0.0005168865474673988,True,True
21,CSF,1.4,4.876523028954988,91.25492795235742,60.0,0.00574119687300334,False,True
22,CY,2.15,6.429768115703106,88.97368297862226,60.0,0.008935133885384028,True,True
23,SXQ,2.15,4.035316959873359,83.69060898947562,60.0,0.02336153883856129,True,True
24,ZBY,1.95,7.876331599139057,87.64018312879139,80.0,0.2616991412441737,False,False
25,WY,2.5,5.009662717961263,56.59230162624944,60.0,0.6010141664328297,True,False
